SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
05115,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,15750.0,8610.0,13090.0,12190.0,8630.0,14200.0,5228.0,13330.5,12740.0,12769.0
05141,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,135.5,120.7,127.44,120.75,115.1,94.72,120.56,114.0
05171,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,403.0,615.0,884.0,633.5,1450.0,904.5,807.5,1021.08,909.5,1064.0
05172,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,1.59,,,,,0.0,0.0,2.0
05177,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,269.5,744.5,423.5,477.8,1152.0,568.5,168.5,371.76,362.0,650.0
05181,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,1.59,,,,,0.0,0.0,0.0
05184,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,167.1,,,390.8,91.5,0.0,0.0,122.0
05215,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,906.0,941.5,3098.0,1096.0,1269.0,4580.0,3004.0,2361.9,2022.0,2312.0
05216,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,25.0,,107.1,16.0,9.9,0.792,114.8,10.1376,10.11,45.0
05241,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,184.6,32.97,44.7,36.9,93.06,45.56,34.72,70.0
05270,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,22.89,20.31,111.56,64.0,60.03,23.77,132.4,67.5576,45.88,48.0
05276,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,516.0,739.5,1505.0,1155.0,1028.0,1018.5,789.5,893.76,845.0,1001.0
05315,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,67.56,52.4,180.8,81.9,140.2,143.2,198.4,374.5,377.2,123.0
05337,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,,,122.7,,,,,0.0,0.0,12.0
05376,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,73.25,88.6,104.1,83.6,90.8,74.9,90.94,117.24,76.2,78.0
05415,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,30.58,1.429,62.8,45.7,46.1,45.8,17.8,54.3,58.2,40.0
05515,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,299.5,310.5,904.0,360.5,499.5,497.5,910.0,920.6,897.0,618.0
05516,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,3.572,,40.3,0.871,3.168,0.713,51.62,3.6432,2.268,10.0
05576,BIRELL,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,105.06,132.6,165.2,124.3,160.0,99.0,116.75,196.2,136.8,132.0
05615,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,1037.0,1612.0,729.0,380.2,2162.0,583.5,,929.8,924.5,864.0
05677,RADEGAST,CZ,2021,15,5,4.0,5,3.277,1.754,1.525,True,218.6,160.1,67.6,194.4,378.0,,,357.12,371.2,233.0
