SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,TrueSalesHl,PredSalesHl_Classic,PredSalesHl_ML
02184,GAMBRINUS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,428.0,,83.2,532.0,3086.0,0.0,88.0,459.0
02215,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,21.42,305.5,260.8,321.2,242.4,255.2,229.3,234.6,265.0
02815,EXCELENT,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,841.5,2009.0,3072.0,898.5,2508.0,1660.0,460.5,1618.4,1230.0,1546.0
02838,EXCELENT,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,0.7915,,,5.266,12.0,0.0,0.0,0.0
02838,EXCELENT,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,1.854,,,,5.15,0.0,0.0,6.0
02841,EXCELENT,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,143.5,,0.56,128.1,89.0,294.28,128.0,49.0
02871,EXCELENT,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,314.0,217.0,481.0,422.0,444.0,322.5,194.1,519.0,448.2,482.0
02877,EXCELENT,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,,,171.4,32.4,73.94,79.94,89.75,34.8,47.0,73.0
03015,PRIMUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,97.5,69.6,1014.5,446.5,705.0,830.5,799.0,746.7,745.0,685.0
03092,PRIMUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,580.5,462.0,841.0,699.5,524.0,937.5,1145.0,776.76,938.0,904.0
03115,KLASIK,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,151.2,290.8,1301.0,768.5,1296.0,916.5,1019.0,810.7,1113.0,991.0
03515,GAMBRINUS,CZ,2021,15,5,4.0,,3.277,1.754,1.525,True,57.16,,44.47,4.6,6.0,59.6,75.0,47.8,79.5,41.0
04015,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,443.0,610.5,582.0,424.0,486.8,700.5,359.8,253.2,399.2,572.0
04077,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,304.2,267.2,356.2,208.2,196.2,335.8,677.5,286.68,258.2,333.0
04215,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,2244.0,2256.0,1990.0,2324.0,2314.0,1945.0,1332.0,1935.7,1755.0,2493.0
04242,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,,,,,,0.0,50.0,162.0
04271,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,550.0,624.5,190.6,126.0,93.94,238.0,204.4,130.2,78.75,197.0
04277,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,156.4,383.0,689.0,962.0,910.5,698.5,660.5,1072.44,807.5,855.0
04315,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,3.373,3.543,56.53,30.6,40.6,38.7,56.6,28.8,36.4,36.0
04347,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,,,0.0833,,,,,0.0,0.0,26.0
04377,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,4.49,4.49,34.6,35.28,35.4,49.44,30.36,11.16,23.27,36.0
04476,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,109.4,92.94,93.4,55.2,11.88,80.6,169.2,66.84,48.0,81.0
04515,SMADNY MNICH,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,1029.0,660.0,1058.0,630.5,612.5,1056.0,1164.0,1306.3,1012.0,985.0
04585,SMADNY MNICH,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,2482.0,948.5,1188.0,1472.0,1030.0,1408.0,860.5,3231.096,2650.0,1736.0
04590,SMADNY MNICH,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,719.0,422.0,863.5,369.8,819.0,1316.0,1116.0,418.14,701.0,1008.0
04976,SARIS,SK,2021,15,5,4.0,,3.277,1.754,1.525,True,124.25,107.8,133.9,89.2,54.38,95.2,,102.84,55.62,111.0
