SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,SalesHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,OldPredSalesHl
02841,EXCELENT,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,88.95101704082501,130.28,172.76,303.04,155.68,65.2,59.6799
02871,EXCELENT,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,76.58090117767537,73.92345110087045,105.06702303185,133.08,229.68,376.2,84.6,79.44,120.9208
02877,EXCELENT,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,20.0,140.0,56.465625,24.48,71.76,179.4,30.24,0.12,13.1203
03015,PRIMUS,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,328.3596191535569,31.578947368421055,1150.52310096065,687.9,247.4,1215.0,2353.9,1504.2,1094.6015
03092,PRIMUS,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,250.96774193548387,10.526315789473683,939.7845145087996,342.48,230.88,932.16,845.76,1014.12,630.9601
03115,KLASIK,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,38.70967741935484,280.9677419354839,1126.0880757224747,789.6,493.3,1471.8,1379.5,999.2,724.8004
03515,GAMBRINUS,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,48.57142857142857,46.666666666666664,50.19,55.2,54.4,62.1,73.2,10.4,65.001
05015,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,992.3674819803856,1247.7049903501518,2047.39298589545,1710.1,1057.0,3421.5,1009.4,1088.1,1801.5013000000001
05071,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,92.91359447004609,222.82373271889404,991.5088773438749,574.44,470.52,1235.16,285.12,178.92,350.8401
05115,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,5502.122932599376,3593.5799175357747,4017.38964821975,3733.0,2710.9,7091.9,5315.6,6748.4,4084.1005
05141,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,,,62.4583552281,161.28,137.2,283.08,113.2,64.4,90.2402
05171,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,259.5787168893398,49.85743011160142,1710.8030450060749,325.2,278.4,607.8,237.72,168.48,306.8804
05177,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,165.52227342549924,149.95391705069125,149.180434469925,156.6,111.24,335.64,61.92,111.0,249.80059999999997
05184,RADEGAST,CZ,2019,1,4,2,4.0,0.88125,1.13125,0.71875,False,33.0,132.0,142.08200000000002,324.324,49.896,158.004,74.844,,158.0
