SkuShort,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekBgtHl1,SalesHl,PrevWeekSalesHl1,PrevWeekSalesHl2
06892,CZ,2016,39,4,"15,764285714285714","1,6714285714285715","6,771428571428571",0,NULL,NULL,"2471,168","2471,168","4132,8","53,76","53,76"
06892,CZ,2016,40,5,"7,592857142857143","5,971428571428571","1,3714285714285717",0,NULL,NULL,2250,"2471,168","981,12","4132,8","53,76"
06892,CZ,2016,41,5,"8,192857142857141","1,15","1,5214285714285716",0,NULL,NULL,2250,2250,"7956,48","981,12","4132,8"
06892,CZ,2016,43,4,9,"0,7071428571428572","1,4285714285714286",0,NULL,NULL,2250,NULL,0,NULL,"7956,48"
06892,CZ,2016,45,5,"1,1","0,4714285714285714","2,0642857142857145",0,NULL,NULL,"2566,24",NULL,"5382,72",NULL,0
06892,CZ,2016,46,4,"5,085714285714286","2,307142857142857","1,9785714285714282",0,NULL,NULL,"2566,24","2566,24","4972,8","5382,72",NULL
06892,CZ,2016,47,5,"6,728571428571429","0,15","1,3071428571428572",0,NULL,NULL,"2566,24","2566,24","591,36","4972,8","5382,72"
06892,CZ,2016,48,5,"-0,28571428571428586","0,39285714285714285","2,414285714285714",0,NULL,NULL,"1912,896","2566,24","87,36","591,36","4972,8"
06892,CZ,2016,49,5,"2,2285714285714286","0,2857142857142857","2,4857142857142853",0,NULL,NULL,"1912,896","1912,896","4925,76","87,36","591,36"
06892,CZ,2016,50,5,"0,45714285714285713","0,5357142857142857","1,5000000000000002",0,NULL,NULL,"1912,896","1912,896","6424,32","4925,76","87,36"
06892,CZ,2016,51,5,"0,0285714285714286","0,2785714285714286","1,1071428571428572",0,NULL,NULL,"1912,896","1912,896","1444,8","6424,32","4925,76"
06892,CZ,2016,52,4,"-0,02142857142857148","1,4571428571428573","2,8785714285714286",0,NULL,NULL,"1912,896","1912,896","1270,08","1444,8","6424,32"
06892,CZ,2017,1,5,"-5,278571428571429","0,5571428571428572","1,207142857142857",0,NULL,NULL,"2105,12","1912,896","5463,36","1270,08","1444,8"
06892,CZ,2017,2,5,"-2,7785714285714285","0,5928571428571427","2,5214285714285714",0,"7028,571428571428",NULL,"2105,12","2105,12","5591,04","5463,36","1270,08"
06892,CZ,2017,3,5,"-5,264285714285714","0,05714285714285715","3,085714285714286",0,"5271,428571428572","7028,571428571428","2105,12","2105,12","960,96","5591,04","5463,36"
06892,CZ,2017,4,5,"-4,321428571428571","0,014285714285714287","3,6499999999999995",0,NULL,"5271,428571428572","2105,12","2105,12","100,8","960,96","5591,04"
06892,CZ,2017,6,5,"-1,792857142857143",0,"0,6214285714285713",0,NULL,NULL,2130,NULL,"3581,76",NULL,"100,8"
06892,CZ,2017,7,5,"1,1428571428571428","0,7571428571428571","4,878571428571429",0,6400,NULL,2130,2130,"9401,28","3581,76",NULL
06892,CZ,2017,8,5,"5,821428571428572","0,9071428571428571","2,1857142857142855",0,4800,6400,2130,2130,"1209,6","9401,28","3581,76"
06892,CZ,2017,9,5,"7,635714285714285","0,6785714285714286","5,1571428571428575",0,NULL,4800,"2822,3360000000002",2130,"67,2","1209,6","9401,28"
06892,CZ,2017,10,5,"4,557142857142856","1,5785714285714287","2,257142857142857",0,NULL,NULL,"2822,3360000000002","2822,3360000000002","5631,36","67,2","1209,6"
06892,CZ,2017,11,5,"6,121428571428573","1,6428571428571428","4,542857142857143",0,"7428,571428571428",NULL,"2822,3360000000002","2822,3360000000002","4798,08","5631,36","67,2"
06892,CZ,2017,12,5,"7,342857142857142","1,6642857142857144","3,242857142857143",0,"5571,428571428572","7428,571428571428","2822,3360000000002","2822,3360000000002","2546,88","4798,08","5631,36"
06892,CZ,2017,15,4,"9,614285714285714","1,0357142857142858","3,835714285714286",0,NULL,NULL,"1924,98",NULL,"2647,68",NULL,NULL
06892,CZ,2017,16,4,"4,707142857142856","1,75","2,6785714285714284",0,"7428,571428571428",NULL,"1924,98","1924,98","8198,4","2647,68",NULL
06892,CZ,2017,17,5,"7,157142857142857","6,664285714285714","3,5214285714285714",0,"5571,428571428572","7428,571428571428","1924,98","1924,98","1236,48","8198,4","2647,68"
06892,CZ,2017,19,4,"11,485714285714284","2,5500000000000003","6,764285714285713",0,NULL,NULL,"3050,01",NULL,"4193,28",NULL,"1236,48"
06892,CZ,2017,20,5,"17,37142857142857","0,07142857142857142","8,6",0,"5142,857142857143",NULL,"3050,01","3050,01","2607,36","4193,28",NULL
06892,CZ,2017,21,5,"16,67857142857143","0,35000000000000003","8,64285714285714",0,"3857,1428571428573","5142,857142857143","3050,01","3050,01","2997,12","2607,36","4193,28"
06892,CZ,2017,23,5,"18,192857142857143","1,9000000000000001","10,292857142857143",0,NULL,NULL,2640,NULL,"2567,04",NULL,"2997,12"
06892,CZ,2017,24,5,"18,292857142857144","1,5071428571428573","8,257142857142858",0,"6857,142857142857",NULL,2640,2640,"7795,2","2567,04",NULL
06892,CZ,2017,25,5,"22,678571428571427","1,9928571428571427","11,507142857142858",0,"5142,857142857143","6857,142857142857",2640,2640,"3097,92","7795,2","2567,04"
06892,CZ,2017,26,5,"20,19285714285714","5,621428571428572","5,757142857142857",0,NULL,"5142,857142857143",2640,2640,"450,24","3097,92","7795,2"
06892,CZ,2017,27,3,"20,07857142857143","2,9928571428571424","7,364285714285715",0,NULL,NULL,"3549,99",2640,"2002,56","450,24","3097,92"
