SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,SalesHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,OldPredSalesHl
01000,PILSNER URQUELL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1901.85066611255,2057.73,,,,,1902.089
01002,PILSNER URQUELL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,472.93888166257494,394.5,,,,,375.6472
01003,PILSNER URQUELL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,3010.971783775024,2535.6,,,,,2311.0085
01005,PILSNER URQUELL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142856,1.0142857142857142,False,,,4930.06793436995,4515.5,,,,,4459.9005
01010,PILSNER URQUELL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,46.15059676749999,7.15,,,,,40.885
02003,GAMBRINUS,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,289.06153830505,171.3,,,,,163.9316
02110,GAMBRINUS,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,40.849843284950005,14.6,,,,,28.7006
02500,GAMBRINUS,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142856,1.0142857142857142,False,,,691.1924724449501,448.64,,,,,306.9948
02503,GAMBRINUS,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,357.919104939975,153.3,,,,,164.3056
02505,GAMBRINUS,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1488.8197851499997,1273.0,,,,,1218.1524
02600,GAMBRINUS,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1705.917347780025,1462.25,,,,,1291.3232
02603,GAMBRINUS,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1148.547330987375,593.4,,,,,622.1369
02605,GAMBRINUS,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,7604.628708382251,7141.0,,,,,6781.754400000001
02800,EXCELENT,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,234.007328695,252.77,,,,,215.19679999999997
02803,EXCELENT,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,468.79971788507487,306.6,,,,,352.2631
02805,EXCELENT,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,2239.4092125400994,1735.0,,,,,1596.6187000000002
03205,GAMBRINUS,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1.0433466075,,,,,,
05000,RADEGAST,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142856,1.0142857142857142,False,,,730.3731729874748,592.91,,,,,563.4902999999999
05002,RADEGAST,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,72.033887494925,70.65,,,,,63.384499999999996
05003,RADEGAST,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,481.90632725482504,381.6,,,,,305.7456
05005,RADEGAST,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,3576.8743772850753,2784.0,,,,,2479.1068999999998
05100,RADEGAST,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,189.44230754252501,190.61,,,,,171.57559999999998
05103,RADEGAST,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,370.096700647525,372.0,,,,,284.2816
05105,RADEGAST,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,4102.846180899901,3317.5,,,,,2923.605
05202,BIRELL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,108.45266950755001,79.2,,,,,68.2695
05203,BIRELL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,339.752228437275,314.1,,,,,275.7873
05603,RADEGAST,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,,84.3,,,,,19.9998
05703,RADEGAST,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,0.659027927475,,,,,,
06003,KOZEL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,39.44997655005,26.7,,,,,19.7764
06005,KOZEL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,311.41697427005,262.5,,,,,236.0636
06100,KOZEL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,125.37832448752499,91.17,,,,,69.2229
06103,KOZEL,CZ,2016,1,5,,5.0,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,271.16718249497495,166.5,,,,,161.151
