SkuShort,Brand,Country,Year,Week,NumberWorkdays,PrevNumberWorkdays,NextNumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,SalesHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,OldPredSalesHl
01000,PILSNER URQUELL,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1901.85066611255,2057.73,,,,,1902.089
01000,PILSNER URQUELL,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,227.63483637500002,240.0,,,,,155.0
01002,PILSNER URQUELL,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,472.93888166257494,394.5,,,,,375.6472
01002,PILSNER URQUELL,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,71.895600995,49.8,,,,,29.916500000000003
01003,PILSNER URQUELL,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,3010.971783775024,2535.6,,,,,2311.0085
01003,PILSNER URQUELL,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,367.49727226749997,260.09999999999997,,,,,224.4001
01005,PILSNER URQUELL,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142856,1.0142857142857142,False,,,4930.06793436995,4515.5,,,,,4459.9005
01005,PILSNER URQUELL,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,347.58755589000003,324.0,,,,,227.91490000000002
01010,PILSNER URQUELL,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,46.15059676749999,7.15,,,,,40.885
01010,PILSNER URQUELL,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,8.097719119450002,10.95,,,,,7.450499999999999
02003,GAMBRINUS,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,289.06153830505,171.3,,,,,163.9316
02103,GAMBRINUS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,23.469710505,32.4,,,,,
02105,GAMBRINUS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,263.97759444499997,208.0,,,,,177.259
02110,GAMBRINUS,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,40.849843284950005,14.6,,,,,28.7006
02110,GAMBRINUS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,6.341038758499999,6.65,,,,,5.1497
02500,GAMBRINUS,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142856,1.0142857142857142,False,,,691.1924724449501,448.64,,,,,306.9948
02503,GAMBRINUS,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,357.919104939975,153.3,,,,,164.3056
02505,GAMBRINUS,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1488.8197851499997,1273.0,,,,,1218.1524
02600,GAMBRINUS,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1705.917347780025,1462.25,,,,,1291.3232
02600,GAMBRINUS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,76.8626074075,70.0,,,,,56.95
02603,GAMBRINUS,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1148.547330987375,593.4,,,,,622.1369
02603,GAMBRINUS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,17.271387490000002,29.7,,,,,21.6201
02605,GAMBRINUS,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,7604.628708382251,7141.0,,,,,6781.754400000001
02605,GAMBRINUS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,236.51750218,176.0,,,,,81.7401
02800,EXCELENT,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,234.007328695,252.77,,,,,215.19679999999997
02803,EXCELENT,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,468.79971788507487,306.6,,,,,352.2631
02803,EXCELENT,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,33.29703309,18.0,,,,,16.0363
02805,EXCELENT,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,2239.4092125400994,1735.0,,,,,1596.6187000000002
03205,GAMBRINUS,CZ,2016,1,5,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,1.0433466075,,,,,,
04000,SARIS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142856,1.0142857142857142,False,,,136.47528634,204.5,,,,,127.3001
04003,SARIS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,118.50960775,79.5,,,,,47.1546
04005,SARIS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,998.1646364175001,823.0,,,,,454.6312
04200,SARIS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,0.001226015,,,,,,
04203,SARIS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,100.07861386750001,63.0,,,,,54.355599999999995
04205,SARIS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,592.40826186,366.0,,,,,263.4934
04303,SARIS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,38.225178892500004,27.9,,,,,16.2557
04505,SMADNY MNICH,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,56.3069711825,19.5,,,,,
04803,SARIS,SK,2016,1,4,,5,-1.1642857142857146,0.9357142857142857,1.0142857142857142,False,,,,27.3,,,,,33.0
