SkuShort,PrimaryPack,Country,Year,Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekSalesHl1,PrevWeekSalesHl2,PrevYearSalesHl1,PrevYearSalesHl2,SalesHl,OldPredSalesHl,PredictSalesHl
05276,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,188.0,418.0,1032.0,883.0,1151.0,756.5,519.5,478,612,1024.0
05315,RB,CZ,2021,10,5,2.34,0.877,3.383,True,217.0,133.2,114.75,295.0,87.8,231.1,169.8,201,68,225.0
05376,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,50.0,100.7,100.6,108.6,101.6,77.6,107.5,60,78,103.0
05415,RB,CZ,2021,10,5,2.34,0.877,3.383,True,27.86,27.28,41.84,59.1,35.6,32.0,13.9,37,33,46.0
05515,RB,CZ,2021,10,5,2.34,0.877,3.383,True,973.5,694.0,614.5,937.5,300.8,842.0,805.0,288,464,772.0
05516,RB,CZ,2021,10,5,2.34,0.877,3.383,True,23.39,21.95,36.28,1.98,1.029,45.47,52.8,2,10,13.0
05576,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,58.56,117.1,118.94,193.1,154.5,60.6,55.2,88,122,148.0
05615,RB,CZ,2021,10,5,2.34,0.877,3.383,True,2206.0,311.0,708.0,1902.0,654.5,206.6,,796,956,1233.0
05677,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,42.34,141.4,65.6,280.8,184.2,,,126,149,200.0
05715,RB,CZ,2021,10,5,2.34,0.877,3.383,True,553.5,100.0,251.5,110.2,360.5,39.0,25.4,377,796,280.0
05915,RB,CZ,2021,10,5,2.34,0.877,3.383,True,35.72,,,22.2,32.1,,,110,48,48.0
06015,RB,CZ,2021,10,5,2.34,0.877,3.383,True,1215.0,242.6,772.5,909.5,358.8,797.0,286.2,604,698,923.0
06077,CAN,CZ,2021,10,5,2.34,0.877,3.383,True,51.0,61.44,123.9,151.5,219.9,117.1,,193,160,169.0
