Week,NumberWorkdays,AvgTemp,AvgRain,AvgSun,IsLockdown,PdtHl,PrevWeekPdtHl1,BgtHl,PrevWeekBgtHl1,PrevWeekSalesHl1,PrevWeekSalesHl2,RealSalesHl,PredictSalesHl
28,5,18.214285714285715,4.15,6.628571428571429,False,0.0,0.0,351.525,351.525,221.27,349.31,322,248.90231745114056
35,5,18.014285714285712,2.2285714285714286,5.221428571428571,False,0.0,0.0,663.9251806092,911.799637030975,868.8,815.4,769,891.1167485862953
29,5,17.285714285714285,4.892857142857143,6.542857142857143,False,0.0,0.0,44.1535306352,44.1535306352,14.7,18.75,18,0.0
12,5,7.05,1.457142857142857,5.728571428571429,True,0.0,0.0,441.4793339103,441.4793339103,880.2,659.4,203,626.7389536947633
46,4,3.292857142857144,0.7214285714285715,2.071428571428572,False,0.0,0.0,1770.25,1770.25,1086.5,1203.5,1224,1137.1655776842579
19,4,12.650000000000002,2.571428571428572,7.25,True,0.0,0.0,54.50546704770001,54.50546704770001,4.05,1.35,11,0.0
19,4,12.650000000000002,2.571428571428572,7.25,True,0.0,0.0,1211.4185866262,1211.4185866262,462.5,291.5,560,618.1111583490717
42,5,11.099999999999998,0.6214285714285713,3.7928571428571423,False,0.0,0.0,554.0087257586,554.0087257586,467.7,424.2,575,501.64675853466787
32,5,20.157142857142865,4.242857142857143,8.028571428571428,False,20.0,10.318181818181817,113.2375,113.2375,105.3,89.35,138,118.41467579672214
33,5,18.435714285714287,2.3857142857142857,6.078571428571428,False,0.0,0.0,0.0,0.0,0.8,0.0,1,22.66414005124077
8,5,6.607142857142857,0.992857142857143,2.157142857142857,False,0.0,0.0,30.2158790933,30.2158790933,15.15,18.15,22,28.826681170243063
1,4,5.112500000000001,1.0625000000000002,0.925,False,0.0,0.0,27.126733405675,30.899999999999995,25.65,42.75,20,40.15084087924134
48,5,-0.2857142857142858,0.3928571428571428,2.414285714285714,False,0.0,0.0,1958.09490603348,2226.3991792817,1692.0,1462.5,1564,1760.9377409042113
29,5,21.62857142857143,0.6214285714285713,6.778571428571428,False,0.0,0.0,463.539515989275,463.539515989275,330.0,255.0,352,363.30506675475965
3,5,-5.264285714285714,0.0571428571428571,3.085714285714286,False,0.0,0.0,23.925000000000004,23.925000000000004,23.1,21.15,21,51.827484779744765
3,5,0.3642857142857141,0.2142857142857143,2.2142857142857144,False,0.0,0.0,105.47090857332502,105.47090857332502,70.5,32.7,58,111.30569007424005
42,5,7.985714285714286,1.8857142857142857,1.9,False,0.0,0.0,115.68749999985,115.68749999985,101.1,87.3,85,116.43851708070713
20,5,17.37142857142857,0.0714285714285714,8.6,False,0.0,0.0,534.0,0.0,512.1,438.9,468,517.1705969420647
48,5,-0.2857142857142858,0.3928571428571428,2.414285714285714,False,0.0,0.0,577.416,700.1050000000001,909.86,741.8000000000001,844,816.6514780631717
31,5,22.00714285714286,1.8642857142857143,11.435714285714283,False,0.0,0.0,795.86655757065,755.9057688365249,843.3,1347.3000000000002,1101,991.1986596275872
25,4,17.70714285714286,1.8857142857142857,5.628571428571429,False,0.0,0.0,9.736274464900005,259.9394396393,244.0,248.0,178,267.3042561537107
22,5,16.435714285714283,3.064285714285714,6.935714285714285,False,0.0,0.0,2559.7039345877,3044.5637485341,2765.0303000000004,2862.8304000000003,3014,2913.8307001186017
23,4,21.25714285714286,2.3642857142857143,9.692857142857145,False,0.0,0.0,1308.93507276614,1308.93507276614,1608.74,1555.84,1482,1688.2320653894553
24,5,17.892857142857142,4.557142857142858,4.35,False,0.0,0.0,573.8186009140601,573.8186009140601,264.9,206.7,325,300.1828507046991
33,5,18.435714285714287,2.3857142857142857,6.078571428571428,False,0.0,0.0,1816.70218331535,1816.70218331535,888.5,785.5,762,1051.019949958017
29,5,22.07857142857143,2.1,8.442857142857143,False,0.0,0.0,2689.375,2689.375,2579.5,2791.5,2616,2774.2682356919922
49,5,2.2285714285714286,0.2857142857142857,2.4857142857142853,False,0.0,0.0,231.0,231.0,78.5,79.0,62,126.40549692510501
4,5,3.078571428571429,0.1142857142857143,0.7214285714285714,False,0.0,0.0,216.6242115996,216.6242115996,276.89,200.41,168,249.91450571259315
43,5,9.385714285714284,2.707142857142857,1.3142857142857145,False,0.0,0.0,45.6375,45.6375,37.35,24.4,35,40.473099608026
16,4,11.571428571428571,0.0,12.321428571428571,False,0.0,0.0,63.393720972475,63.393720972475,47.41,38.16,57,67.32482524941115
24,5,24.3,1.2642857142857142,10.278571428571428,False,0.0,0.0,209.94320384994,209.94320384994,300.9,270.9,316,343.81464345688715
39,5,13.835714285714284,7.957142857142857,5.214285714285714,False,0.0,0.0,0.0,0.0,187.2,281.4,62,130.36666284797033
6,5,0.6,0.3714285714285714,3.792857142857143,False,0.0,0.0,108.43032217495,108.43032217495,114.9,116.1,111,140.52214302346505
52,3,3.1642857142857146,1.635714285714286,2.0428571428571427,False,0.0,0.0,1436.0,1436.0,1742.0,1231.5,960,1287.3668991205716
36,5,16.02142857142857,5.678571428571429,5.007142857142857,False,0.0,0.0,221.82524973488,221.82524973488,307.58,307.91,303,294.1066091555564
19,5,14.414285714285713,0.7357142857142857,6.878571428571427,False,0.0,0.0,1828.75,1828.75,115.0,99.0,136,166.66253785181323
43,5,8.264285714285716,3.9785714285714286,1.7142857142857149,False,0.0,0.0,6474.952237522175,6474.952237522175,6802.5,6166.5,5742,6985.66072072824
5,5,1.1500000000000004,2.25,2.407142857142857,False,0.0,0.0,0.0,0.0,0.0,0.0,0,42.81009639635529
