iter	Passed	Remaining
909	10292	1017
910	10302	1006
911	10312	995
912	10324	983
913	10336	972
914	10346	961
915	10356	949
916	10367	938
917	10377	926
918	10388	915
919	10399	904
920	10409	892
921	10419	881
922	10430	870
923	10440	858
924	10452	847
925	10463	836
926	10473	824
927	10483	813
928	10493	802
929	10503	790
930	10513	779
931	10524	767
932	10535	756
933	10546	745
934	10570	734
935	10581	723
936	10591	712
937	10601	700
938	10612	689
939	10621	677
940	10632	666
941	10644	655
942	10655	644
943	10665	632
944	10677	621
945	10688	610
946	10697	598
947	10709	587
948	10719	576
949	10729	564
950	10740	553
951	10750	542
952	10761	530
953	10772	519
954	10781	508
955	10791	496
956	10802	485
957	10811	473
958	10822	462
959	10831	451
960	10843	440
961	10853	428
962	10863	417
963	10874	406
964	10886	394
965	10897	383
966	10909	372
967	10921	361
968	10931	349
969	10941	338
970	10952	327
971	10962	315
972	10972	304
973	10984	293
974	10994	281
975	11004	270
976	11016	259
977	11026	248
978	11036	236
979	11047	225
980	11058	214
981	11068	202
982	11080	191
983	11089	180
984	11099	169
985	11110	157
986	11120	146
987	11130	135
988	11142	123
989	11153	112
990	11164	101
991	11174	90
992	11185	78
993	11197	67
994	11206	56
995	11218	45
996	11230	33
997	11241	22
998	11251	11
999	11262	0
