iter	RMSE
163	464.1482094
164	463.3471976
165	462.8163634
166	462.2983551
167	461.6482017
168	460.7052261
169	460.1896256
170	459.3034445
171	458.5286055
172	457.9901109
173	457.4906705
174	457.0837028
175	456.638521
176	456.0115905
177	455.5222161
178	454.9444358
179	454.4211897
180	453.7505744
181	453.3719358
182	453.0131109
183	452.2369598
184	451.695841
185	451.1327422
186	450.7701707
187	450.038386
188	449.3791718
189	448.8431379
190	448.335909
191	447.6962902
192	447.3072019
193	446.7218945
194	446.170032
195	445.7363065
196	445.3332744
197	444.9070867
198	444.0420337
199	443.3307207
200	442.936216
201	442.5428865
202	441.7170212
203	441.4371689
204	440.7027049
205	440.2299885
206	439.6240158
207	438.9755488
208	438.5064509
209	437.9809231
210	437.4985335
211	437.0580127
212	436.5248282
213	435.822957
214	435.277065
215	434.9153176
216	434.6192346
217	434.1189629
218	433.6064093
219	433.0252796
220	432.6751697
221	431.9672657
222	431.606947
223	431.21231
224	430.8040292
225	430.2143556
226	429.9207956
227	429.5294216
228	429.240587
229	428.6631932
230	428.1110879
231	427.8421797
232	427.4627551
233	427.01742
234	426.6582806
235	426.1536672
236	425.8463357
237	425.2337001
238	424.9248775
239	424.589921
240	424.2915764
241	423.9542864
242	423.6364192
243	423.3642053
244	422.9518093
245	422.6187593
246	422.3255473
247	421.5891753
248	421.3257334
249	421.0224054
250	420.8295853
251	420.1806299
252	419.9172597
253	419.6611367
254	419.316553
255	419.0624615
256	418.5291942
257	417.895762
258	417.6290943
259	417.0804621
260	416.9517495
261	416.7852413
262	416.3830626
263	415.9567926
264	415.3249056
265	415.0386483
266	414.8056736
267	414.5512547
268	414.1682564
269	413.4293799
270	413.2482873
271	412.7884993
272	412.2649567
273	411.8501492
274	411.5701362
275	411.2348892
276	410.9703865
277	410.3825308
278	409.8370615
279	409.2864009
280	409.0025301
281	408.7661138
282	408.187133
283	407.9258675
284	407.390659
285	406.7592581
286	406.3898955
287	405.9888958
288	405.3911462
289	405.2643564
290	404.9770119
291	404.7007639
292	404.4377091
293	403.8847696
294	403.6830376
295	403.3752209
296	402.8367491
297	402.4844986
298	402.1976496
299	401.8304999
300	401.5491827
301	401.0991038
302	400.8258026
303	400.7356854
304	400.528372
305	400.3162488
306	400.0180426
307	399.7040975
308	399.3154989
309	398.9341705
310	398.4396031
311	398.080876
312	397.9559931
313	397.5485093
314	397.3700884
315	397.2519098
316	396.7855141
317	396.5877835
318	396.176808
319	395.6833506
320	395.2667086
321	394.9106362
322	394.6474462
323	394.2422001
324	394.0088825
325	393.7856669
326	393.2620901
327	393.0388319
328	392.7814903
329	392.5672895
330	392.1892572
331	391.7784887
332	391.3573199
333	391.0363378
334	390.5916451
335	390.3809628
336	389.9794565
337	389.6725695
338	389.1714344
339	388.6632584
340	388.3371707
341	388.1794598
342	387.7787612
343	387.5913788
344	387.449838
345	387.242522
346	386.8810804
347	386.7069164
348	386.2805688
349	385.9021551
350	385.3911548
351	385.0961826
352	384.608314
353	384.4634777
354	384.0818847
355	383.7730203
356	383.4518854
357	383.1971582
358	382.962035
359	382.7988834
360	382.7027797
361	382.5745578
362	382.3327825
363	381.8785502
364	381.562454
365	381.052718
366	380.807009
367	380.5419681
368	380.286523
369	379.948674
370	379.7341792
371	379.2671852
372	379.0409536
373	378.9135018
374	378.6393986
375	378.3291396
376	377.8741321
377	377.7224213
378	377.5399977
379	377.3582215
380	377.0245885
381	376.7320987
382	376.466084
383	376.2214065
384	375.8039196
385	375.4708815
386	375.1399268
387	374.7275569
388	374.3662468
389	374.0129827
390	373.7883447
391	373.5807411
392	373.2476932
393	372.9286923
394	372.659807
395	372.4451846
396	372.3329866
397	372.0264179
398	371.8554629
399	371.477984
400	371.2386029
401	370.9023081
402	370.5479115
403	370.2653534
404	369.9058954
405	369.6848453
406	369.5550751
407	369.3464069
408	369.11965
409	368.7151584
410	368.5223698
411	368.2475961
412	367.9846396
413	367.7819162
414	367.6702401
415	367.264611
416	367.070177
417	366.7004112
418	366.5619637
419	366.2225253
420	366.0425752
421	365.8441997
422	365.4914033
423	365.2530009
424	365.0385861
425	364.7812847
426	364.4462849
427	364.260017
428	363.9041438
429	363.5864644
430	363.3098055
431	362.976071
432	362.8022924
433	362.5976045
434	362.2832938
435	362.1175291
436	361.9214512
437	361.6470722
438	361.3511119
439	361.0031411
440	360.8461004
441	360.5940235
442	360.2444139
443	359.9450284
444	359.6870274
445	359.4492085
446	359.3058265
447	359.1108517
448	358.9110127
449	358.6299756
450	358.3667772
451	358.2276058
452	357.9273235
453	357.7714221
454	357.5648835
455	357.2255094
456	356.9883615
457	356.6029212
458	356.4155191
459	356.2250529
460	356.0387699
461	355.835817
462	355.6422767
463	355.3400784
464	355.173811
465	354.9400011
466	354.7397149
467	354.4113803
468	354.1916408
469	353.866328
470	353.4652563
471	352.99666
472	352.8192401
473	352.6486245
474	352.4384066
475	352.0964847
476	351.7550897
477	351.3892088
478	351.0814104
479	350.8402365
480	350.5992984
481	350.2636141
482	350.0023898
483	349.7222689
484	349.432938
485	349.373914
486	349.1254271
487	348.9036439
488	348.6487934
489	348.4899707
490	348.2893952
491	347.9759326
492	347.7967425
493	347.71177
494	347.5487083
495	347.3679925
496	347.1577844
497	347.0233417
498	346.7831076
499	346.592805
500	346.3771603
501	346.1520155
502	345.8917241
503	345.5991978
504	345.5396292
505	345.2564259
506	344.9773041
507	344.7210487
508	344.5332087
509	344.2444963
510	344.008326
511	343.7953688
512	343.6902105
513	343.6023887
514	343.473524
515	343.2856144
516	343.1692247
517	342.9970167
518	342.7504047
519	342.4065339
520	342.1570662
521	341.903429
522	341.5553221
523	341.3301351
524	341.0061522
525	340.7477745
526	340.3991173
527	340.2334858
528	339.9919333
529	339.8141392
530	339.6068048
531	339.5047579
532	339.3267248
533	339.2257349
534	339.1281428
535	338.8467621
536	338.6024287
537	338.5004973
538	338.3572885
539	338.2630088
540	338.1077904
541	337.9666588
542	337.7742205
543	337.5785748
544	337.2720151
545	337.1724009
546	336.995049
547	336.6844491
548	336.4772099
549	336.2487963
550	336.1329391
551	335.9684032
552	335.7466535
553	335.5192243
554	335.32508
555	335.1641182
556	334.9672991
557	334.7652034
558	334.5471632
559	334.3015838
560	334.0809916
561	333.8524997
562	333.7415234
563	333.5403753
564	333.3345521
565	333.1381369
566	332.9800156
567	332.6970397
568	332.4306706
569	332.2515724
570	332.0810507
571	331.9110425
572	331.5260406
573	331.4208728
574	331.2879316
575	331.039042
576	330.8743152
577	330.5880569
578	330.4535641
579	330.25926
580	329.9753623
581	329.8066311
582	329.6439192
583	329.4903435
584	329.2547199
585	328.9720745
586	328.6774812
587	328.6020996
588	328.4726235
589	328.2278768
590	328.0461241
591	327.7842679
592	327.597117
593	327.4169257
594	327.1664154
595	326.9114776
596	326.8452335
597	326.7268442
598	326.4742317
599	326.213339
600	325.999711
601	325.8529034
602	325.777531
603	325.6183528
604	325.4484153
605	325.2172284
606	325.0181912
607	324.8563839
608	324.6678038
609	324.3883412
610	324.1438259
611	323.915235
612	323.7023919
613	323.5208616
614	323.376889
615	323.2777141
616	323.0642627
617	322.9171957
618	322.7341861
619	322.520788
620	322.3644033
621	322.1698086
622	321.9963552
623	321.7610538
624	321.5942666
625	321.4925776
626	321.305529
627	321.1427605
628	320.9568178
629	320.7647501
630	320.4595873
631	320.2558625
632	319.9381106
633	319.7422748
634	319.5116571
635	319.3276764
636	319.1476274
637	318.8997082
638	318.7443598
639	318.5453612
640	318.2920132
641	318.1183661
642	317.9041191
643	317.7154991
644	317.4519345
645	317.2382942
646	317.0771867
647	317.0000259
648	316.867121
649	316.6683448
650	316.4538226
651	316.3456829
652	316.024691
653	315.8985362
654	315.7536615
655	315.494175
656	315.311636
657	315.1011983
658	314.8974885
659	314.7085536
660	314.5736601
661	314.4132518
662	314.1584339
663	314.0358969
664	313.8433358
665	313.7110932
666	313.5747803
667	313.3758417
668	313.2068794
669	313.0725238
670	312.9406991
671	312.7546742
672	312.6066618
673	312.4428937
674	312.3064609
675	312.1720311
676	311.9612604
677	311.8612406
678	311.6540173
679	311.4770284
680	311.2755145
681	311.0523528
682	310.8770833
683	310.6980256
684	310.545221
685	310.3996737
686	310.3028999
687	310.0999591
688	309.8785951
689	309.7411573
690	309.5477392
691	309.4201807
692	309.1651646
693	308.9648748
694	308.8279228
695	308.7097393
696	308.4407349
697	308.2152853
698	308.1584013
699	308.0327915
700	307.8523484
701	307.6862917
702	307.4508075
703	307.3808898
704	307.2761879
705	307.1037472
706	306.8910749
707	306.7285369
708	306.6772752
709	306.6075012
710	306.3496675
711	306.2052654
712	306.0394242
713	305.8748745
714	305.7468585
715	305.4915395
716	305.3013995
717	305.149776
718	304.9686713
719	304.8104309
720	304.6390888
721	304.4225458
722	304.2822197
723	304.1264678
724	304.0210721
725	303.9007259
726	303.7405721
727	303.662675
728	303.4497524
729	303.318659
730	303.207159
731	302.9441828
732	302.7986207
733	302.6156271
734	302.4936765
735	302.2646994
736	302.0927054
737	301.8296739
738	301.7056578
739	301.5614783
740	301.4491585
741	301.2345143
742	301.0314732
743	300.8649271
744	300.7665159
745	300.6118351
746	300.4924693
747	300.3216311
748	300.1461059
749	300.0142511
750	299.8838926
751	299.6643638
752	299.5245823
753	299.3784797
754	299.2429947
755	299.1322927
756	299.0202971
757	298.9654358
758	298.8975528
759	298.7090327
760	298.5853006
761	298.4128304
762	298.3157476
763	298.2104141
764	298.002255
765	297.8445538
766	297.6773056
767	297.4998409
768	297.3597021
769	297.2742117
770	297.2004489
771	297.0700768
772	296.8276974
773	296.6568493
774	296.535448
775	296.4634524
776	296.3343189
777	296.244742
778	296.0305047
779	295.8330899
780	295.6624602
781	295.4867343
782	295.3822171
783	295.3040265
784	295.211833
785	295.1041752
786	294.9255716
787	294.7911048
788	294.6918818
789	294.5706456
790	294.4883143
791	294.3894486
792	294.2231924
793	294.0146327
794	293.7841189
795	293.645709
796	293.4766942
797	293.2616394
798	293.0872859
799	293.0153905
800	292.8770169
801	292.753115
802	292.6706693
803	292.6017642
804	292.4579033
805	292.3340181
806	292.2412875
807	292.0936393
808	291.9947718
809	291.874903
810	291.6751352
811	291.5018268
812	291.291115
813	291.216577
814	291.0745846
815	290.920523
816	290.8274302
817	290.7195402
818	290.5992363
819	290.5055037
820	290.4189537
821	290.3514035
822	290.2379102
823	290.1310238
824	289.9854601
825	289.8629813
826	289.7087663
827	289.469188
828	289.3500754
829	289.2215639
830	289.0812261
831	288.9814691
832	288.887917
833	288.8050038
834	288.6984843
835	288.5025934
836	288.3860612
837	288.2484475
838	288.0239249
839	287.9343902
840	287.7894283
841	287.509532
842	287.4108036
843	287.311141
844	287.1968056
845	287.0125187
846	286.8910769
847	286.7805219
848	286.6897081
849	286.5640515
850	286.4202704
851	286.3454031
852	286.2586968
853	286.1391205
854	286.0374164
855	285.8687682
856	285.6597877
857	285.5306736
858	285.3991629
859	285.2872549
860	285.1886674
861	285.0954734
862	284.9416823
863	284.8344251
864	284.6446022
865	284.5325988
866	284.4201477
867	284.3355145
868	284.1558684
869	283.9453996
870	283.7608921
871	283.6636393
872	283.5725653
873	283.4858224
874	283.3242258
875	283.1340253
876	283.0507082
877	282.9599259
878	282.9059753
879	282.8119712
880	282.6290027
881	282.5027462
882	282.3998181
883	282.2647061
884	282.2112946
885	282.0664785
886	281.9925388
887	281.9269789
888	281.7497064
889	281.6852869
890	281.5655827
891	281.3369971
892	281.1273271
893	280.9947073
894	280.8020016
895	280.6821634
896	280.5652386
897	280.3998858
898	280.2037655
899	280.0653223
900	279.8548592
901	279.7774337
902	279.7109184
903	279.6056599
904	279.5127267
905	279.4125952
906	279.2579405
907	279.0961282
908	278.9365765
909	278.7482977
910	278.6499168
911	278.4872874
912	278.3802332
913	278.2146763
914	278.1244834
915	277.9390494
916	277.8225383
917	277.6616752
918	277.5384123
919	277.4715341
920	277.3561868
921	277.3028623
922	277.2110545
923	277.0376472
924	276.8821765
925	276.771489
926	276.6870226
927	276.5437069
928	276.4526998
929	276.3111365
930	276.1737222
931	276.025778
932	275.8636452
933	275.7594466
934	275.5825849
935	275.4790852
936	275.3834709
937	275.3130097
938	275.2342358
939	275.1074325
940	275.061345
941	274.887397
942	274.778854
943	274.6448023
944	274.4882634
945	274.2640122
946	274.1748257
947	274.0848232
948	273.9218848
949	273.822533
950	273.6782729
951	273.6028428
952	273.4756566
953	273.3926557
954	273.2546034
955	273.1628206
956	273.0326105
957	272.8992331
958	272.8321055
959	272.6686167
960	272.5203313
961	272.4103246
962	272.2511632
963	272.0677149
964	271.8952905
965	271.7650846
966	271.6510814
967	271.5659501
968	271.4765756
969	271.4200823
970	271.3141293
971	271.2275976
972	271.1115346
973	270.981392
974	270.8878617
975	270.7846275
976	270.7354742
977	270.6687412
978	270.5629737
979	270.4879797
980	270.3323527
981	270.1525708
982	269.937223
983	269.8681777
984	269.8071528
985	269.7170566
986	269.5975729
987	269.470053
988	269.3517609
989	269.2047829
990	269.0500695
991	268.969983
992	268.8079921
993	268.7125358
994	268.6513716
995	268.5041848
996	268.4548255
997	268.2759849
998	268.2163364
999	268.1022916
